nabijeci_stanice,nabijeni_interval_zacatek_datum_a_cas,nabijeni_interval_konec_datum_a_cas,spotreba_hodnota,spotreba_jednotka
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-08-31T10:43:00,2018-08-31T13:47:00,14.488,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-08-30T17:14:00,2018-08-30T17:40:00,2.764,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-08-29T19:18:00,2018-08-29T20:24:00,7.245,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-08-29T14:01:00,2018-08-29T14:26:00,1.833,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-08-28T17:50:00,2018-08-28T19:23:00,9.931,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-08-28T17:00:00,2018-08-28T17:40:00,4.348,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-08-28T13:17:00,2018-08-28T14:20:00,7.046,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-08-28T12:38:00,2018-08-28T12:40:00,0.001,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-08-27T16:29:00,2018-08-27T16:33:00,0.483,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-08-27T15:40:00,2018-08-27T16:02:00,2.410,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-08-27T11:42:00,2018-08-27T13:32:00,11.990,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-08-26T19:12:00,2018-08-26T21:10:00,13.268,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-08-26T17:45:00,2018-08-26T18:46:00,1.486,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-08-26T14:34:00,2018-08-26T16:55:00,8.883,KWH
